EPIC,RA,Dec,Kp,InvestigationIDs
211817361,130.40225,17.56197,13.59500,GO18015_LC|GO18052_LC|GO18063_LC|GO18068_LC|GO18015_SC|GO18052_SC
211828663,131.30660,17.72402,12.99400,GO18015_LC|GO18052_LC|GO18068_LC|GO18015_SC|GO18052_SC
211931651,130.84335,19.20021,16.54500,GO18011_LC|GO18015_LC|GO18023_LC|GO18039_LC|GO18052_LC|GO18062_LC|GO18015_SC|GO18052_SC
211934756,128.93077,19.24680,13.95800,GO18015_LC|GO18052_LC|GO18068_LC|GO18015_SC|GO18052_SC
211944856,127.90593,19.39702,11.01800,GO18001_LC|GO18005_LC|GO18014_LC|GO18015_LC|GO18038_LC|GO18052_LC|GO18054_LC|GO18063_LC|GO18065_LC|GO18015_SC|GO18052_SC
211945445,131.18670,19.40616,15.65500,GO18011_LC|GO18015_LC|GO18023_LC|GO18039_LC|GO18052_LC|GO18062_LC|GO18015_SC|GO18052_SC
211951824,130.17360,19.50022,16.51600,GO18011_LC|GO18015_LC|GO18023_LC|GO18039_LC|GO18062_LC|GO18015_SC
211970427,129.79106,19.78303,15.07100,GO18011_LC|GO18015_LC|GO18023_LC|GO18039_LC|GO18052_LC|GO18062_LC|GO18068_LC|GO18015_SC|GO18052_SC
211975518,130.71779,19.86264,15.03100,GO18011_LC|GO18015_LC|GO18023_LC|GO18039_LC|GO18062_LC|GO18068_LC|GO18015_SC
211977874,130.29955,19.89908,15.00000,GO18015_LC|GO18015_SC
211983544,130.65675,19.98861,17.44500,GO18011_LC|GO18015_LC|GO18023_LC|GO18039_LC|GO18062_LC|GO18015_SC
211983725,129.92096,19.99134,14.63900,GO18011_LC|GO18015_LC|GO18023_LC|GO18039_LC|GO18052_LC|GO18062_LC|GO18068_LC|GO18015_SC|GO18052_SC
212006215,130.55751,20.35749,14.40700,GO18015_LC|GO18052_LC|GO18068_LC|GO18015_SC|GO18052_SC
212006725,126.34265,20.36577,17.68300,GO18011_LC|GO18015_LC|GO18023_LC|GO18025_LC|GO18039_LC|GO18052_LC|GO18057_LC|GO18062_LC|GO18015_SC|GO18052_SC
212017189,129.62260,20.54027,14.94900,GO18015_LC|GO18052_LC|GO18015_SC|GO18052_SC
212019656,129.96371,20.58055,14.87900,GO18011_LC|GO18015_LC|GO18023_LC|GO18039_LC|GO18052_LC|GO18062_LC|GO18068_LC|GO18015_SC|GO18052_SC
212021253,129.36859,20.60794,14.75000,GO18011_LC|GO18015_LC|GO18023_LC|GO18039_LC|GO18052_LC|GO18062_LC|GO18068_LC|GO18015_SC|GO18052_SC
212028041,128.34169,20.72149,14.32100,GO18015_LC|GO18052_LC|GO18063_LC|GO18068_LC|GO18015_SC|GO18052_SC
